Category,Metric,Average,Min,Max,Median,P95,P99
routing,firstScreenLoad,1412.00,1231.00,1520.00,1419.00,1520.00,1520.00
routing,routeTransition,387.17,335.33,406.00,398.50,406.00,406.00
routing,perceivedLoadTime,1920.00,1696.00,2194.00,1783.00,2194.00,2194.00
rendering,frameRate,49.82,45.02,54.73,50.28,54.73,54.73
rendering,listScrolling,48.18,45.21,51.64,48.78,51.64,51.64
rendering,componentRender,16.00,12.00,18.00,16.00,18.00,18.00
memory,initialUsage,131.17,123.50,149.45,126.61,149.45,149.45
memory,peakUsage,207.38,190.62,228.79,197.30,228.79,228.79
memory,memoryLeaks,1.66,0.64,2.96,1.03,2.96,2.96
network,apiResponseTime,542.80,416.00,665.00,524.00,665.00,665.00
network,imageLoadTime,684.20,567.00,893.00,673.00,893.00,893.00
network,cacheHitRate,0.83,0.77,0.89,0.83,0.89,0.89
interaction,touchResponse,105.60,90.00,115.00,107.00,115.00,115.00
interaction,gestureRecognition,58.20,44.00,71.00,62.00,71.00,71.00
interaction,scrollResponse,19.40,13.00,28.00,17.00,28.00,28.00
