Category,Metric,Average,Min,Max,Median,P95,P99
routing,firstScreenLoad,1346.40,1150.00,1429.00,1388.00,1429.00,1429.00
routing,routeTransition,404.33,383.83,415.50,407.00,415.50,415.50
routing,perceivedLoadTime,1784.20,1685.00,1983.00,1730.00,1983.00,1983.00
rendering,frameRate,50.67,45.33,54.75,50.10,54.75,54.75
rendering,listScrolling,48.69,45.42,51.46,49.39,51.46,51.46
rendering,componentRender,16.00,13.00,20.00,16.00,20.00,20.00
memory,initialUsage,137.81,125.22,148.66,136.56,148.66,148.66
memory,peakUsage,198.13,187.73,207.56,201.76,207.56,207.56
memory,memoryLeaks,1.79,0.09,2.79,2.52,2.79,2.79
network,apiResponseTime,529.60,454.00,583.00,555.00,583.00,583.00
network,imageLoadTime,642.40,563.00,856.00,595.00,856.00,856.00
network,cacheHitRate,0.84,0.77,0.93,0.83,0.93,0.93
interaction,touchResponse,118.00,110.00,129.00,118.00,129.00,129.00
interaction,gestureRecognition,49.80,47.00,55.00,49.00,55.00,55.00
interaction,scrollResponse,19.80,15.00,23.00,21.00,23.00,23.00
