Category,Metric,Average,Min,Max,Median,P95,P99
routing,firstScreenLoad,1224.60,1158.00,1369.00,1183.00,1369.00,1369.00
routing,routeTransition,399.70,375.50,408.83,406.00,408.83,408.83
routing,perceivedLoadTime,1878.00,1702.00,2124.00,1792.00,2124.00,2124.00
rendering,frameRate,48.60,45.36,51.36,48.95,51.36,51.36
rendering,listScrolling,47.72,44.36,51.47,48.24,51.47,51.47
rendering,componentRender,17.40,11.00,20.00,19.00,20.00,20.00
memory,initialUsage,138.80,120.02,149.81,141.40,149.81,149.81
memory,peakUsage,213.86,199.35,221.49,213.79,221.49,221.49
memory,memoryLeaks,1.60,0.14,2.57,1.43,2.57,2.57
network,apiResponseTime,497.20,406.00,588.00,505.00,588.00,588.00
network,imageLoadTime,692.40,552.00,798.00,682.00,798.00,798.00
network,cacheHitRate,0.87,0.79,0.91,0.89,0.91,0.91
interaction,touchResponse,109.20,93.00,126.00,107.00,126.00,126.00
interaction,gestureRecognition,63.00,58.00,69.00,61.00,69.00,69.00
interaction,scrollResponse,21.20,13.00,28.00,19.00,28.00,28.00
